Community_Area_Name,Community_Area_Number,Property_Description,Property_Name,Address,ZIP_Code,Phone_Number,Management_Company,Units,Latitude,Longitude
Portage Park,15,ARO,4812-15 W. Montrose Apts.,4812-15 W. Montrose Ave.,60641,630-694-6968,@properties,2,,
West Englewood,67,Multifamily,New West Englewood Homes,2109 W. 63rd St.,60636,773-434-4929,Interfaith Housing Corp.,12,,
Englewood,68,Multifamily,Antioch Homes II,301 W. Marquette Road,60621,773-994-4546,"Universal Management Service, Inc.",69,41.77256377,-87.63241932
Washington Park,40,Senior HUD 202,St. Edmund's Corners,5556 S. Michigan Ave.,60637,773-667-7583,St. Edmund's Redevelopment Corp.,53,41.79297452,-87.62256852
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,526 N. Troy St.,60624,773-227-6332,Bickerdike Apts.,6,41.89117274,-87.70533834
Grand Boulevard,38,Senior,Evans Langley,727 E. 50th Pl,60615,312-368-8610,"Metroplex, Inc.",60,41.80303973,-87.60775489
Uptown,3,Multifamily,Magnolia Court Apts.,4878 N. Magnolia Ave.,60640,773-878-2186,"Park, Inc.",60,41.97121983,-87.66124806
South Shore,43,Multifamily,Jeffrey Towers Apts.,7020 S. Jeffrey Blvd.,60649,872-777-4924,Interfaith Housing Corp.,136,41.76735295,-87.57647796
North Center,5,ARO,The Henry,1819 W. Montrose Ave.,60613,855-443-5287,FLATS Leasing,4,,
Near West Side,28,Multifamily,Near West Side Apts.,216 S. Hoyne Ave.,60612,312-738-2280,Baker-Simmons Apartments,84,41.87812559,-87.67915413
Albany Park,14,Senior,Mayfair Commons,4444 W. Lawrence Ave.,60630,773-205-7862,"Metroplex, Inc.",97,41.96822423,-87.73974749
Grand Boulevard,38,Multifamily,Legends South - Savoy Square,4448 S. State St.,60609,773-855-2209,Interstate Realty Management Co.,220,41.81319493,-87.6263368
Uptown,3,ARO,The Synagogue,5029 N. Kenmore Ave.,60640,855-443-5287,FLATS Leasing,4,,
West Town,24,Multifamily,Tierra Linda Apts.,1421 N. Artesian Ave.,60622,773-276-5338,LUCHA,3,,
Logan Square,22,Multifamily,Zapata Apts.,1955 N. St. Louis Ave.,60647,773-227-6332,Bickerdike Apartments,3,41.91725524,-87.71338923
Humboldt Park,23,Multifamily,Madres Unidas (scattered sites),3541 W. North Ave.,60647,773-276-5338 ext. 225,LUCHA,80,41.90989234,-87.71605298
Near North Side,8,Supportive,Carling Hotel,1512 N. LaSalle St.,60610,312-421-1170,Interstate Realty Management Co.,80,41.90959014,-87.63324548
North Lawndale,29,Multifamily,Park Douglas,1256-60 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,1,41.86484279,-87.69350892
Pullman,50,Multifamily,Pullman Wheelworks,901 E. 104th St.,60628,773-785-1300,Mercy Housing,210,41.70556659,-87.60107403
Auburn Gresham,71,Senior HUD 202,St. Sabina Elder Village Apts.,1222 W. 79th St.,60620,773-994-7850,Catholic Charities Housing Devp.,80,41.75059341,-87.65472675
Humboldt Park,23,Multifamily,Rosa Parks Apts.,649 N. Sawyer Ave.,60624,773-227-6332,Bickerdike Apts.,6,41.89338882,-87.70756503
New City,61,Multifamily,Casa Hidalgo,4600 S. Wood St.,60609,312-248-8355,The Resurrection Project,10,41.81028546,-87.67002227
West Lawn,65,Seniors,Senior Suites of Midway Village,6800 S. Keating Ave.,60629,888-339-2315,Senior Lifestyle Corp.,89,41.76947523,-87.74048606
North Lawndale,29,Multifamily,Park Douglas,1303-15 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,31,41.86448798,-87.69443508
Lower West Side,31,Multifamily,Casa Queretaro,2012 W. 17th St.,60608,312-666-1323,The Resurrection Project,45,41.8586567,-87.67659689
Austin,25,Multifamily,Pine Central,557 N. Pine Ave.,60644,773-568-1020,NHS Redevelopment Corp.,78,41.8905194,-87.76324864
West Ridge,2,Senior,Lincoln Village Senior Apts.,6057 N. Lincoln Ave.,60659,773-338-5900,Perlmark Realty Management,99,41.99186565,-87.70954508
West Ridge,2,Senior,West Ridge Senior Apts.,6142 N. California Ave.,60659,773-381-7400,West Ridge Senior Corp.,117,41.99344157,-87.69964542
East Garfield Park,27,Multifamily,Homan Square Apartments Phase IV,908 S. Central Park Ave.,60624,773-722-7320,Realty & Mortgage Co.,108,41.86966928,-87.71567245
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3145 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,41.88996815,-87.7057294
Uptown,3,Multifamily,Sunnyside Kenmore Apts.,4130 N. Kenmore Ave.,60640,773-769-3116,"Metroplex, Inc.",13,41.95758244,-87.65636944
Kenwood,39,Multifamily,Drexel Preservation,837 E. 47th St.,60653,773-624-4901,MLG Management,39,41.80944088,-87.60503342
Logan Square,22,ARO,MiCA,2733 W. Belden Ave.,60647,312-702-2519,2293NMA LLC,22,41.92282434,-87.69674313
West Town,24,ARO,East Village Lofts,1100 N. Ashland Ave.,60622,773-278-8078,Wicker Park Apartments Inc.,1,41.901559,-87.66759184
Logan Square,22,Multifamily,Tierra Linda Apts.,3572 W. Palmer St.,60647,773-276-5338,LUCHA,3,,
Douglas,35,Multifamily,Park Boulevard IB,3506 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",54,41.83078218,-87.62679018
Woodlawn,42,Multifamily,65th Street Apts.,6400 S. Maryland Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",15,41.77861094,-87.60479472
Belmont Cragin,19,ARO,2917-39 N. Central,2917-39 N. Central Ave.,60634,708-867-3799,Zitella Development,3,41.93364805,-87.7661803
Oakland,36,Multifamily,Oakwood Shores Senior Apts.,3750 S. Cottage Grove Ave.,60653,773-373-1300,The Community Builders,76,41.82637057,-87.60828676
Oakland,36,Multifamily,Lakefront Phase II,1125 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,41.81871188,-87.59894571
Roseland,49,Inter-generational,Roseland Village Grand-Family Apts.,63 E. 104th St.,60628,773-468-1901,Mercy Housing,10,41.70526978,-87.62098184
Douglas,35,Multifamily,Park Boulevard IA,3845 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,41.82420114,-87.62627123
Belmont Cragin,19,Senior,Senior Suites of Belmont-Cragin,6045 W. Grand Ave.,60639,773-237-1333,Senior Lifestyle Corp.,86,41.92079101,-87.77747755
North Lawndale,29,Multifamily,Lawndale Restoration II Apts. (scattered sites),10 N. Hamlin Ave.,60613,312-337-5339,Holsten Management Corp.,170,41.88109233,-87.72091009
West Town,24,Multifamily,Paseo Boricua Apts.,1154 N. Campbell St.,60622,312-602-6500,Hispanic Housing Dev. Corp.,61,41.90287808,-87.68963252
East Garfield Park,27,Multifamily,Ike Sims Village,3333 W. Maypole Ave.,60624,773-638-1818,Village Green Management Co.,200,41.88346519,-87.71003991
Austin,25,Multifamily,Rebecca Walker Complex,126 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,40,41.87849467,-87.76494803
Logan Square,22,Multifamily,Tierra Linda Apts.,1808-10 N. Kedzie Ave.,60647,773-276-5338,LUCHA,3,,
West Englewood,67,Multifamily,Clara Temple Hampton Residence,1656 W. 63rd St.,60636,773-778-2884,West Englewood Dev. Org.,71,41.77953039,-87.66652651
Humboldt Park,23,Supportive Housing,Sanctuary Place,642 N. Kedzie Ave.,60612,773-265-0983,Interfaith Housing Corp.,84,41.89317664,-87.70663122
Humboldt Park,23,Multifamily,Rosa Parks Apts.,541 N. Homan Ave.,60624,773-227-6332,Bickerdike Apts.,27,41.89148035,-87.71116895
Uptown,3,Multifamily,850 Eastwood,850 W. Eastwood Ave.,60640,773-275-6877,Mercy Housing,69,41.96652845,-87.65171856
Washington Park,40,People with Disabilities,Urbanite Apartments,5441 S. Michigan Ave.,60615,773-285-3341,Assoc. of Chicago Day School,85,41.7952753,-87.62233438
Lower West Side,31,Multifamily,Casa Tabasco,2014 S. Racine Ave.,60608,312-850-1935,The Resurrection Project,45,41.85469028,-87.65647821
Lakeview,6,ARO,Viridian on Sheridan,734 W. Sheridan Rd.,60613,847-250-4900,rmk Management,2,41.95286969,-87.64934018
Loop,32,Multifamily,Randolph Tower City Apts. (studios only),188 W. Randolph St.,60601,312-291-8679,Village Green Management Co.,16,41.88457966,-87.63375683
Austin,25,Supportive/Teenage Moms,Home for New Moms,5327 W. Chicago Ave.,60651,773-610-7696,"New Moms, Inc.",40,41.89479143,-87.75927048
Woodlawn,42,Senior,Butler Apts.,6146 S. Kenwood Ave.,60637,773-955-9290,Woodlawn Comm. Dev. Corp.,17,41.78280346,-87.59326131
Douglas,35,Multifamily,Park Boulevard IIB,3700 S. Dearborn St.,60609,773-548-8792,"Urban Property Advisors, LLC",72,41.82719422,-87.62784358
Grand Boulevard,38,Artist Live/Work Space,Bronzeville Artists Lofts,436 E. 47th St.,60653,773-324-1745,Revere Properties,16,41.80952057,-87.61482402
North Park,13,Senior,North Park Village Apts.,5801 N. Pulaski Road,60646,773-478-6890,Elderly Housing Devp. & Operations Corp.,137,41.98593151,-87.72836921
Woodlawn,42,Multifamily,65th Street Apts.,6522 S. Ingleside Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",18,41.77610371,-87.60232857
South Deering,51,Senior,Porta Coeli Residence,2260 E. 99th St.,60617,773-374-2470,Catholic Charities,86,41.71539824,-87.56871495
Kenwood,39,Multifamily,Jazz on the Boulevard (scattered sites),4657 S. Drexel Blvd,60653,312-660-1300,Heartland Housing,81,41.80971394,-87.60375337
Near West Side,28,Multifamily,Westhaven Park Phase IIB,110 N. Wood St.,60612,312-491-1114,Interstate Realty Management Co.,176,41.88355426,-87.67195337
Oakland,36,Multifamily,Lake Park Crescent,1061 E. 41st Place,60653,773-268-0200,"Draper and Kramer, Inc.",32,41.81978129,-87.59992527
East Garfield Park,27,Multifamily,Homan Square Apartments Phase V,3607 W. Polk St.,60624,773-722-7320,Realty & Mortgage Co.,42,41.87072555,-87.71590797
Roseland,49,Multifamily,Roseland Ridge Apts.,10513 S. Michigan Ave.,60628,773-341-3158,NHS Redevelopment Corp.,51,41.70307738,-87.62054468
Garfield Ridge,56,Senior,Senior Suites of Garfield Ridge,5839 S. Harlem Ave.,60638,773-229-1533,Senior Lifestyle Corp.,87,41.78535412,-87.801098
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,42,41.86736961,-87.70066623
Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Corp.,85,41.84272915,-87.64624727
Near North Side,8,Multifamily,Clybourn 1200,1200 N. Clybourn Ave.,60622,312-477-7442,Interstate Realty Management Co.,52,41.90378958,-87.63982077
Lincoln Square,4,ARO,The Westner,4618 N. Western Ave.,60625,773-975-7234,Kass Management,2,41.96549759,-87.68895433
Logan Square,22,Multifamily,Tierra Linda Apts.,1812 N. Drake Ave.,60647,773-276-5338,LUCHA,3,,
South Chicago,46,Senior,Victory Center of South Chicago,3251 E. 92nd St.,60617,773-449-2600,Pathway Senior Living,60,41.72821355,-87.54469279
West Garfield Park,26,Supportive Housing,The Rebecca Johnson Apts.,2822 W. Jackson Blvd.,60612,773-638-6393,Deborah's Place Ltd.,52,41.87753589,-87.69706305
Near North Side,8,Multifamily,North Town Village II,1311 N. Halsted St.,60642,312-944-9488,Holsten Real Estate Dev. Corp.,112,41.90543825,-87.64798274
North Lawndale,29,Multifamily,Lazarus Apartments,1859 S. Pulaski Ave.,60623,773-762-3389,Lawndale Christian Residential Svcs.,26,41.85533972,-87.72471008
Grand Boulevard,38,Multifamily,Rosenwald Courts Apts.,4642 S. Michigan Ave.,60653,773-819-2267,Mercy Housing,239,41.80982565,-87.62299938
Near West Side,28,Supportive,Lake Street Studios,727 W. Lake St.,60661,312-274-8200,Interfaith Housing Corp.,61,41.8855647,-87.64685508
Humboldt Park,23,Multifamily,Rosa Parks Apts.,601 N. Drake Ave,60624,773-227-6332,Bickerdike Apts.,6,41.89190162,-87.71483993
Uptown,3,ARO,4801 N. Ravenswood Ave.,4801 N. Ravenswood Ave.,60640,773-929-7050,Hayes Properties Inc.,4,41.9689735,-87.67403032
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase V,400 E. 41st St.,60653,773-924-2100,Paul G. Stewart Assoc.,20,41.8203495,-87.61651411
Uptown,3,ARO,Upshore Chapter,4555 N. Sheridan Road,60640,312.229.6446,33 Realty,7,,
Hyde Park,41,ARO,5432-44 S. Woodlawn,5432 S. Woodlawn Ave.,60615,312-480-0933,Chicago Apartment Finders,10,41.79696316,-87.59673531
West Town,24,ARO,1611 West Division,1611 W. Division St.,60622,773-661-5500,M. Fishman & Co.,10,41.9032305,-87.66797825
North Lawndale,29,Multifamily,Park Douglas,2652 W. 12th Pl,60608,773-893-4800,Interstate Realty Management Co.,4,41.8657664,-87.69316184
East Garfield Park,27,Multifamily,Liberty Square Apts.,705-23 S. Independence Ave.,60624,773-538-3800,Bonheur Realty Services Corp.,66,41.87244138,-87.71958599
Near South Side,33,Supportive Housing,The Studios,1801 S. Wabash St.,60616,312-326-5200,East Lake Management Co.,96,41.85779292,-87.62546237
Oakland,36,Multifamily,Lakefront Phase II,1106 E. 42nd Pl,60653,773-548-8795,"Urban Property Advisors, LLC",3,41.81813912,-87.59936268
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3500 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,41.89192949,-87.71382831
West Town,24,Multifamily,Borinquen Bella Apts.,"1318,1456 N. Rockwell Ave.",60622,773-276-5338,LUCHA,24,41.905458,-87.69216188
Grand Boulevard,38,Multifamily,Legends South - Mahalia Place,116 E. 43rd St.,60653,773-285-9500,Interstate Realty Management Co.,110,41.81666257,-87.62226472
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,614 N. Spaulding Ave.,60624,773-227-6332,Bickerdike Apts.,6,41.89237005,-87.70904868
Woodlawn,42,Multifamily,Woodlawn-Michigan Development,6446 S. Kenwood Ave.,60637,312-226-2200,Wolcott Real Property LLC,33,41.77748903,-87.59314971
Humboldt Park,23,Senior,LUCHA Affordable Units,3541 W. North Ave.,60647,312-276-5338,LUCHA,69,41.90989234,-87.71605298
Near West Side,28,ARO,Milieu Apts.,205 S. Peoria St.,60607,312-983-7152,White Oak Realty Partners,7,,
Albany Park,14,Senior,Senior Suites of Ravenswood Manor,2800 W. Montrose Ave.,60618,773-509-9333,Senior Lifestyle Corp.,80,41.96135865,-87.69854417
North Lawndale,29,65+/Supportive,Montclare Sr. Residences SLF of Lawndale,4339-47 W. 18th Pl,60623,773-277-0288,Montclare Supportive Living,120,41.85577153,-87.7338879
Rogers Park,1,Senior,Morse Senior Apts.,6928 N. Wayne Ave.,60626,312-602-6207,Morse Urban Dev.,44,42.00757377,-87.66517114
Englewood,68,Supportive/Veterans,Hope Manor II Apts.,6002 S. Halsted St.,60621,773-874-3610,Voluinteers of America Illinois,73,41.78499449,-87.64506314
Montclare,18,ARO,2931-57 N. Harlem LLC,2931-57 N. Harlem Ave.,60707,708-867-3799,Zitella Development,5,41.93350027,-87.80644193
Oakland,36,Multifamily,Lakefront Phase II,1140 E. 42nd Pl,60653,773-548-8795,"Urban Property Advisors, LLC",6,41.81813504,-87.59809656
Near West Side,28,Multifamily,Newberry Park Apts.,1355 S. Blue Island Ave.,60608,312-563-0099,AIMCO,124,41.8639941,-87.65575239
Auburn Gresham,71,Senior,Senior Suites of Auburn-Gresham,1050 W. 79th St.,60620,773-723-0333,Senior Lifestyle Corp.,85,41.75064862,-87.65092232
North Center,5,Senior,North Center Senior Apts.,2324 W. Irving Park Road,60618,773-478-8900,"Metroplex, Inc.",60,41.95414467,-87.68697505
East Garfield Park,27,Supportive Housing,East Park Apts.,3300 W. Maypole Ave.,60624,773-826-3300,The Habitat Co.,152,41.88369802,-87.7089025
West Pullman,53,Supportive Housing,Hancock House,12045 S. Emerald Ave.,60628,773-568-3000,Source Works Development,90,41.67469008,-87.64051484
Humboldt Park,23,Multifamily,La Estancia,3220 W. Division St.,60651,773-227-6332,Bickerdike Apts.,18,41.90293349,-87.70762292
North Lawndale,29,Multifamily,Park Douglas,1313-15 S. Fairfiled Ave.,60608,773-893-4800,Interstate Realty Management Co.,4,41.86422845,-87.69442766
Grand Boulevard,38,Supportive Housing,Washington Park SRO,5000 S. Indiana Ave.,60615,773-924-1107,"East Lake Management Group, Inc.",96,41.80375452,-87.62121706
Lower West Side,31,Multifamily,Resurrection Homes,2124 W. 19th St.,60608,312-666-1323,The Resurrection Project,5,41.85590751,-87.67943292
West Pullman,53,Senior,All Saints Senior Residence,11701 S. State St.,60628,312-655-7440,Catholic Charities Housing Devp.,42,41.6815901,-87.62262763
Near South Side,33,Senior,Senior Suites of Central Station,1400 S. Indiana Ave.,60605,312-913-9333,Senior Lifestyle Corp.,276,41.86402666,-87.62262043
Washington Park,40,Senior,St. Edmund's Tower Annex,6151 S. Michigan Ave.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,34,41.782332,-87.62198764
Grand Boulevard,38,Multifamily,Indiana Manor Town Homes,4427-33 S. Indiana Ave.,60653,773-268-5326,Indiana Manor Townhomes,87,41.813971,-87.62119166
Uptown,3,Supportive Housing,Major Jenkins Apts.,5012 N. Winthrop Ave.,60640,773-506-3486,Mercy Housing,96,41.97370056,-87.65789194
Oakland,36,Multifamily,Lakefront Phase II,1128 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,41.81894603,-87.59897812
North Lawndale,29,Supportive/Youth/Kinship Families,Sankofa House,4041 W. Roosevelt Road,60624,773-257-8800,Interfaith Housing Corp.,32,41.86604003,-87.72672414
Uptown,3,ARO,Saxony Wilson,1630 W. Wilson Ave.,60640,312-243-5353,Malet Realty,2,,
Belmont Cragin,19,Senior,Cicero & George Elderly Apts.,4800 W. George St.,60641,312-291-5420,Hispanic Housing Dev. Corp.,70,41.93346293,-87.74679225
Douglas,35,Multifamily,Park Boulevard IIA,17 W. 36th St.,60609,773-548-8792,"Urban Property Advisors, LLC",36,41.82906211,-87.62716568
Lakeview,6,ARO,The Bel,941 W. Belmont Ave.,60657,773-327-6146,33 Realty,4,,
West Town,24,Senior,North & Talman Elderly Apts.,1600 N. Talman Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,24,41.91034383,-87.69347132
Oakland,36,Multifamily,Lakefront Phase II,4143 S. Lake Park Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,41.81881289,-87.59996595
Englewood,68,People with Disabilities,Victoria Jennings Residences,624 W. 61st St.,60621,773-994-3690,"HSR Property Services, LLC",57,41.78355891,-87.6410929
Woodlawn,42,Multifamily,Strand Hotel,6321 S. Cottage Grove Ave.,60637,312-274-9169,Holsten Real Estate Dev. Corp.,63,41.7797573,-87.60576963
Lower West Side,31,Multifamily,Casa Oaxaca,1714 W. 19th St.,60608,312-666-1323,The Resurrection Project,25,41.85603287,-87.66936057
West Town,24,ARO,Wicker Park Connection,1640 W. Division St.,60647,312-330-3210,rmk Management,20,,
North Lawndale,29,Multifamily,Park Douglas,1262-1300 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,7,41.86468333,-87.69350477
Avalon Park,45,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,60619,773-933-9000,Montclare Senior Residences,102,41.75332086,-87.5954564
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,528 N. Troy St.,60624,773-227-6332,Bickerdike Apts.,3,41.89123228,-87.70534012
Lincoln Square,4,ARO,2247 W. Lawrence Ave.,2247 W. Lawrence Ave.,60625,312-266-1515,CA Urban Living,2,,
Chicago Lawn,66,Senior,Lawn Terrace Apts.,3214 W. 63rd Pl,60629,773-925-2815,Greater Southwest Dev. Corp.,102,41.77814486,-87.70387541
Grand Boulevard,38,Senior,Bronzeville Senior Apts.,460 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,97,41.82038154,-87.61438244
Near West Side,28,Multifamily,Westhaven Park Phase IIC,1939 W. Lake St.,60612,312-455-0009,Interstate Realty Management Co.,42,41.8849038,-87.67585077
North Lawndale,29,Senior,Tabernacle Apts.,3836 W. Cermak Road,60623,773-762-3389,Lawndale Christian Residential Svcs.,126,41.85170274,-87.72132688
Lower West Side,31,Multifamily,Casa Monterrey,967 W. 19th St.,60608,312-666-1323,The Resurrection Project,4,41.85656724,-87.65074652
Washington Park,40,Multifamily,Michigan Plaza (St. Edmund's Plaza),5701 S. Michigan Ave.,60653,773-548-8924,Michigan Plaza LP,230,41.79098039,-87.62222411
Edgewater,77,Senior,Pomeroy Apts.,5650 N. Kenmore Ave.,60660,773-275-7820,Habitat Company,198,41.98518678,-87.65680868
Grand Boulevard,38,Multigfamily,Cornerstone Apts.,731 E. 50th Pl,60615,312-577-5555,The Community Builders Inc.,24,41.80304222,-87.60758851
South Shore,43,Multifamily,Highlands Tudor Manor,7018 S. Cregier Ave.,60649,773-667-1940,Related Management Co. LP,18,41.76738208,-87.58140538
